place_id,lat,lon,name,rating,intl_phone_nr,review_count,busstop_id,price_level,opening_hours,website,photo_reference,types,full_busstop_id
ChIJb_YUR3eLGGARyWHavRxr4ls,35.660364,139.7277648,Okami,4,+81 3-3401-2097,1,Aiikukurinikkumae,,,,,"[u'shopping_mall', u'point_of_interest', u'establishment']",Toei.Aiikukurinikkumae.1.1
ChIJDce6r3eLGGARJAzBDnencc4,35.6604918,139.7299635,Cafe Crepe,3.8,+81 3-3497-0669,5,Aiikukurinikkumae,1,"[u'Monday: 10:00 AM \u2013 10:00 PM', u'Tuesday: 10:00 AM \u2013 10:00 PM', u'Wednesday: 10:00 AM \u2013 10:00 PM', u'Thursday: 10:00 AM \u2013 10:00 PM', u'Friday: 10:00 AM \u2013 10:00 PM', u'Saturday: 10:00 AM \u2013 10:00 PM', u'Sunday: 10:00 AM \u2013 10:00 PM']",http://www.cafe-crepe.co.jp/,CmRaAAAAzOebsNO1mSscWkZ9fETZ44Jq2o92JoclaSXuX6y-WNxRf-KErKeJRSbFckFpa1DRxFFFb466tLJ5FQJPSg4U5hYWk_0mFZaBGp-GMVnDAvk5_Wr4SCePPxLpA0_T-r5DEhB2aMR5LPEZJwBUq29pBOJCGhRYiNTa6Jz_Or-vzfVp-sNCdgu8bw,"[u'cafe', u'store', u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Aiikukurinikkumae.1.1
ChIJg5RCD3eLGGAR6dbIHRM98w8,35.6603181,139.7289902,Mori Art Museum,4.3,+81 3-5777-8600,5,Aiikukurinikkumae,,"[u'Monday: 10:00 AM \u2013 10:00 PM', u'Tuesday: 10:00 AM \u2013 5:00 PM', u'Wednesday: 10:00 AM \u2013 10:00 PM', u'Thursday: 10:00 AM \u2013 10:00 PM', u'Friday: 10:00 AM \u2013 10:00 PM', u'Saturday: 10:00 AM \u2013 10:00 PM', u'Sunday: 10:00 AM \u2013 10:00 PM']",http://www.mori.art.museum/jp/index.html,CmRaAAAAmF4lAMC7Jx3giUPSGrDTWJf_0foOKUmvl6lKIDrXTNrsVSZrnL_SFcHpS_uZO05--zUtoe9nmJ9slTQt3scxOVbuptGDVmS1K1Poq8d4BT-uBsCETd4q3ewyOdoe8_-BEhDzOA1Fmjsq2r5LGQGSXMW0GhQTp02X38vzAPHN6jG2xIFw2EcSMg,"[u'museum', u'point_of_interest', u'establishment']",Toei.Aiikukurinikkumae.1.1
ChIJu_74bMeLGGARv7NOe9sINW0,35.656461,139.75356,餃子麺空海 浜松町店,3.4,+81 3-6809-1103,5,Akabanebashikousaten,2,"[u'Monday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM', u'Tuesday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM', u'Wednesday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM', u'Thursday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM', u'Friday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM', u'Saturday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM', u'Sunday: 11:00 AM \u2013 3:00 PM, 5:00 \u2013 11:00 PM']",http://www.umai-ramen.com/shop/shop_16hamamatsuchou.html,CmRaAAAAMRgXQ0HrDFZx0YAMa2mnj5NciDx3A_6wXxzm4_681j1yA46suUHTt6MgH25HjrbnYfHY15zBl4GzS-RsyW1GEMUMmG_U_pr8Ua28EZgwhChAssOvS9ASWubKZD0irMDDEhBnsCxYGlu2Bv1Glw6B1IAvGhRYAMo722rR0Ih9zSsSgY1oz7ailQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Akabanebashikousaten.2584.1
ChIJIREEvuKSGGARJ2zmYuvob6o,35.7769431,139.7206534,San'yu-tei,3.7,+81 3-6454-3387,5,Akabanenichoume,2,"[u'Monday: Closed', u'Tuesday: 11:00 AM \u2013 3:00 PM, 6:00 \u2013 10:00 PM', u'Wednesday: 11:00 AM \u2013 3:00 PM, 6:00 \u2013 10:00 PM', u'Thursday: 11:00 AM \u2013 3:00 PM, 6:00 \u2013 10:00 PM', u'Friday: 11:00 AM \u2013 3:00 PM, 6:00 \u2013 10:00 PM', u'Saturday: 11:00 AM \u2013 3:00 PM, 6:00 \u2013 10:00 PM', u'Sunday: 11:00 AM \u2013 5:00 PM']",http://ameblo.jp/akbnsanyutei/,CmRaAAAAYTjMz8aVwhNbmUBWcNl4Zv9GatewrhkUDMA3sKJGNBv0Y_osEoLZVdAdbHM01sjgWGmJMgwu53AIrEkEOtMqL3WORAu0ZVPe_yLkfyyDcKnuS0kiFTi_OdySo4v-BRpwEhCzsVm9PAqRklQUic0mhgbQGhTrKhBW3g_TxiwyGyTzedgNzYO56Q,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Akabanenichoume.23.1
ChIJmXKJ9SOOGGARpPQdCfGWSXY,35.7668378,139.798527,Mos Burger,3.4,+81 3-3849-3220,5,Akafudou,,"[u'Monday: 9:30 AM \u2013 10:00 PM', u'Tuesday: 9:30 AM \u2013 10:00 PM', u'Wednesday: 9:30 AM \u2013 10:00 PM', u'Thursday: 9:30 AM \u2013 10:00 PM', u'Friday: 9:30 AM \u2013 10:00 PM', u'Saturday: 9:30 AM \u2013 10:00 PM', u'Sunday: 9:30 AM \u2013 10:00 PM']",https://ssl.mos.jp/shop/detail/01812,CmRaAAAAQXFqTdlKLeIkqq5_Cwxxwk0ILSeepFsXuvK7kQ89z3W4gzDTf7RcWbb0R84H9Tbvv3fZUoY3Ugc1XXLaTvN1HZTAQpTWnuVQnxk27gz8QLCC6QW62zzRpSSHGHOsS79xEhA5Pi4c0bkg3dr_QNJk3Lq6GhS7Dx1wylzFxWT6C3M06V_X9IqShA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Akafudou.24.1
ChIJjzt6n2WPGGAR_6MC99rHWJQ,35.7429682,139.8457351,Tateishi 5-chome Park,,,,Aotoshakomae,,,,,"[u'park', u'point_of_interest', u'establishment']",Toei.Aotoshakomae.3.1
ChIJc-zTGv6JGGARq6KEGa71mZg,35.6174521,139.7773332,Sky restaurant Seagal,3.4,+81 3-5531-0055,5,Aouminichoume,2,"[u'Monday: 11:30 AM \u2013 2:00 PM', u'Tuesday: 11:30 AM \u2013 2:00 PM', u'Wednesday: 11:30 AM \u2013 2:00 PM', u'Thursday: 11:30 AM \u2013 2:00 PM', u'Friday: 11:30 AM \u2013 2:00 PM', u'Saturday: Closed', u'Sunday: Closed']",https://sky-restaurants-seagull.gorp.jp/,CmRaAAAACkwM-67uPoSrMf1GOPMEllZjSmH8M_uaXrMWqN6DHDOV5072d1QoSdO4uIQPgceFbriY_jbedlciUb9HXIoXcUaL_K_Uvumkjn41bkoZHoW3LUSLPoKFiGd1lZykUlO9EhBJruhEkcu1qb47EkitkGQWGhTbPOWce3Vg0_oHoImT4J1pm6uqXw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Aouminichoume.2542.1
ChIJAQDZyxqSGGARxnNhsvcl7yc,35.7680828,139.7641398,江北二丁目児童遊園,3,,1,Arakawadote,,"[u'Monday: Open 24 hours', u'Tuesday: Open 24 hours', u'Wednesday: Open 24 hours', u'Thursday: Open 24 hours', u'Friday: Open 24 hours', u'Saturday: Open 24 hours', u'Sunday: Open 24 hours']",,CmRaAAAANXAzZIJOqqJ0fAeYuAjVVC11gmEUFGzEgpV_f89aRQa_6EN1mBekmwlhFB4FXLzEKjxr1-Xm2UFTIGoED8gido83xqoWn_Whmmz2YtzR2Y9U6KL36qvmbVt1MmDVwndkEhAW5X7-86vQZLBNqyXYvz5IGhRvsvH3zcPnAuUnDUsfYRKpeSf5hA,"[u'park', u'point_of_interest', u'establishment']",Toei.Arakawadote.504.1
ChIJL94ni1SOGGARWB7tRW5_0AU,35.7443413,139.8114437,Mcdonald's Ushida Station Front Shop,2.8,+81 3-3879-4048,5,Arakawakuritsudaisanchuugakkoumae,1,"[u'Monday: 6:30 AM \u2013 11:30 PM', u'Tuesday: 6:30 AM \u2013 11:30 PM', u'Wednesday: 6:30 AM \u2013 11:30 PM', u'Thursday: 6:30 AM \u2013 11:30 PM', u'Friday: 6:30 AM \u2013 11:30 PM', u'Saturday: 6:30 AM \u2013 10:00 PM', u'Sunday: 6:30 AM \u2013 10:00 PM']",https://map.mcdonalds.co.jp/map/13730,CmRaAAAAaXo36nsxIk0sdYLvlsImHYvssLYIB_z4MEqNLIWlYME8ZKuEpngcgT_BPTfs6hDfd6Za4WR7Ssg-EdgGP2yawJ6l33ev1-fzmDUY6t9UprUbYdEdTeS7RQempl8NckKeEhBpyoKrxH8YsM-1xmAvexUHGhT141FgIsBQ--GHA05qZsqmFNK_rg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Arakawakuritsudaisanchuugakkoumae.2414.1
ChIJbQE881SOGGARUH9u42jKTCE,35.7441985,139.8115565,Uozen,3.7,+81 3-3888-1270,4,Arakawakuritsudaisanchuugakkoumae,,"[u'Monday: 11:00 AM \u2013 2:00 PM', u'Tuesday: 11:00 AM \u2013 2:00 PM', u'Wednesday: 11:00 AM \u2013 2:00 PM', u'Thursday: 11:00 AM \u2013 2:00 PM', u'Friday: 11:00 AM \u2013 2:00 PM', u'Saturday: 11:00 AM \u2013 2:00 PM', u'Sunday: Closed']",,,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Arakawakuritsudaisanchuugakkoumae.2414.1
ChIJqw9CNumMGGARftSbwtwPwlE,35.6902493,139.7160731,トーテムポールフォトギャラリー,4.5,+81 3-3341-9341,5,Arakichou,,"[u'Monday: Closed', u'Tuesday: 12:00 \u2013 7:00 PM', u'Wednesday: 12:00 \u2013 7:00 PM', u'Thursday: 12:00 \u2013 7:00 PM', u'Friday: 12:00 \u2013 7:00 PM', u'Saturday: 12:00 \u2013 7:00 PM', u'Sunday: 12:00 \u2013 7:00 PM']",http://tppg.jp/,CmRaAAAAkVJVyQCrsUokQSXWNhLJm1TILGfSy0shtkeFLuYq5d_r4V1s65geca21crez3-WsO_pU8I1fmf6H-xekUgd2IY99K9Zi7CyHhuvHixV09xAz55URzzJUk_YEpgrguu3SEhCoc-50rCU-524clxGEKK7GGhShFQmq9qdgvA3P0LGjwLJLBB0JRg,"[u'art_gallery', u'point_of_interest', u'establishment']",Toei.Arakichou.71.1
ChIJVR-x6uiJGGAR0unA-RIB0ko,35.6322849,139.7898905,BLEND MEISTER CAFE,4.3,+81 3-5530-8484,5,Ariakeicchoume,2,"[u'Monday: 5:00 \u2013 11:00 PM', u'Tuesday: 5:00 \u2013 11:00 PM', u'Wednesday: 5:00 \u2013 11:00 PM', u'Thursday: 5:00 \u2013 11:00 PM', u'Friday: 5:00 \u2013 11:00 PM', u'Saturday: 5:00 \u2013 11:00 PM', u'Sunday: 5:00 \u2013 10:00 PM']",http://www.sunroute.jp/HotelInfo/tokyo_kanagawa/ariake/restaurant_facilities.html,CmRaAAAA2QDx55dVX0C-EnVTIHWjbuUbWg4zVKp7QBNegbt1oDK7tHA2QswEM_4-013kIBcYafkxBQGxqJqPEypTNDkrQXIZN2nvwdj75UGzmIBYM7uzQ6b32-oSBsKrZNgaGTfFEhBeFJohsbwcJo4edqa3JEiTGhT_J6A5NB28fp-H8bX0BacIBBeC6A,"[u'cafe', u'food', u'point_of_interest', u'establishment']",Toei.Ariakeicchoume.2144.1
ChIJ_x-YL-6JGGARcuveOb2QXy0,35.6315118,139.7836202,Ariake northk Green way Park,3.9,,5,Ariakeicchoume,,"[u'Monday: Open 24 hours', u'Tuesday: Open 24 hours', u'Wednesday: Open 24 hours', u'Thursday: Open 24 hours', u'Friday: Open 24 hours', u'Saturday: Open 24 hours', u'Sunday: Open 24 hours']",http://www.tptc.co.jp/park/02_06,CmRaAAAAEJpVFcAz-tqJWtykkAvpuGDxPhWA3e-ZhsOpf-mvj1gewmUuX1NWPBqKoXZwF3WdAqG8Wrf7Vk5qjpJP0fMJDFYWmDwQ_7Y52o0UxsH1KeP442N_t5-A-v-h_I_oZJBTEhA8XFXRkr-JYMIA4s_ONtHVGhT4u-veJbA7VL0gCKO-uRPJpx6kAA,"[u'park', u'point_of_interest', u'establishment']",Toei.Ariakeicchoume.2144.1
ChIJfWQCT_GJGGARyF5gBXNZE-Q,35.6304966,139.7784706,台場海濱公園,4.7,,3,Ariakeicchoume,,,,CmRaAAAA8_0IFYsWA5EpkKmJCKaqZRFtQCEcKhVegnX2XrTzBM2xeYBB2BLJiRdZy5OZTxhrEUkhQJuKnsY0tFt0S-v-B5Jsd56kIgp1AUSbg7Szfin9BSgCIZVn23IpsMLMXBhtEhA6T8HUVI6boYAQwESAhdSWGhRSb_0QKl_VzvZE6u4oYNf2GClciQ,"[u'shopping_mall', u'point_of_interest', u'establishment']",Toei.Ariakeicchoume.2144.1
ChIJnXaWJoztGGARHuSnSbCuzNQ,35.712704,139.634748,ギャラリー オノマトペ,4,+81 3-6315-8667,1,Asagayaekimae,,,http://www.g-onomatope.com/,CmRaAAAAl1uAaRtQ-Ku2eA_LkyZfMmW8B_gfJqVyHrsM-UKlQEsDkL0WYv6kvaSKduJaKa9iiQHyBD2ms1D4ACOt3p3XCilfmf2MukPBr-WddR9sqIdLzwotbStUwmC8ErSkY0jCEhCFMQkPR7MA6Cb0KY8L3DayGhRYjKgi90xtHWBr4ETr9rOvi1jjpA,"[u'art_gallery', u'museum', u'point_of_interest', u'establishment']",Toei.Asagayaekimae.29.1
ChIJTfvKSIjtGGARQIkHx28jmE8,35.709389,139.6381073,Asagaya Central Park,3.7,+81 3-3312-2111,5,Asagayaekimae,,"[u'Monday: Open 24 hours', u'Tuesday: Open 24 hours', u'Wednesday: Open 24 hours', u'Thursday: Open 24 hours', u'Friday: Open 24 hours', u'Saturday: Open 24 hours', u'Sunday: Open 24 hours']",http://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007053.html,CmRaAAAAfQhk7uHVbaA_qoVTDsQj_ZU53UxqGQIipLBPyTNr9ML4CjSqt1NWjVPsAZ5m0_GEZ4oXL3ueVDSc6M77WRjQwKKK2Ec4wSRMf1Oxm5aP0MgziU6N65D2gBnbpvlRGfLKEhB86-U3HOJC0ZuYlYw2XK_DGhSPHed5TnB-yumO9a23LLKe5blAGA,"[u'park', u'point_of_interest', u'establishment']",Toei.Asagayaekimae.29.1
ChIJvd_2BXbyGGARrvX2nIeEqLE,35.7061411,139.6352781,OPPO,4,+81 3-3223-2080,2,Asagayaekimae,,,http://oppo.art.coocan.jp/,CmRaAAAAXORlFF8pHX7QNZNbnTkZKaK_-Jt4MuU14VRGYrrlb7jeR1MgbmGBkybndSwf89J9u6lizIJLFTqKBWGJs6WeW-gdpAjpv5naya8LuVGv0VNpAgGiIDoNGZg0tMXFnqtaEhBEGUyP3Qg8oUluOOg3ZMUpGhQLUlPjPlESuj0z5QR7vO8WhqZeQg,"[u'art_gallery', u'point_of_interest', u'establishment']",Toei.Asagayaekimae.29.1
ChIJ9xHF8nbyGGARuvKfmkGmDWY,35.7044823,139.636329,Asagaya Sta. South Ent. Square,5,,2,Asagayaekimae,,,,CmRaAAAAdjM4NhoTHRv4yGTp4vLoHpgz6mBaqxtL0XpMib85GWBpQQdFQEcxJrmIOwYfHYqrzCK5LJkJkuX30BXSL3eB8kkC6Xq--xdiXTKZw28kpUbm49nyc5TKY48R5FF4KUufEhCSzaiwfYJpWdk36gtgHSE_GhQrkmvMp-ZIAB1Yu3b5jr7WjebN0A,"[u'park', u'point_of_interest', u'establishment']",Toei.Asagayaekimae.29.1
